global_step,episode,episode_return,episode_length,epsilon,loss
4306,444,1.0,16,0.959093,nan
4312,445,0.0,6,0.959036,nan
4318,446,0.0,6,0.958979,nan
4324,447,0.0,6,0.958922,nan
4330,448,0.0,6,0.958865,nan
4336,449,0.0,6,0.958808,nan
4342,450,0.0,6,0.958751,nan
4348,451,0.0,6,0.958694,nan
4364,452,1.0,16,0.958542,nan
4380,453,1.0,16,0.95839,nan
4386,454,0.0,6,0.958333,nan
4392,455,0.0,6,0.958276,nan
4408,456,1.0,16,0.958124,nan
4424,457,1.0,16,0.957972,nan
4440,458,1.0,16,0.95782,nan
4456,459,1.0,16,0.957668,nan
4472,460,1.0,16,0.957516,nan
4500,461,2.0,28,0.95725,nan
4516,462,1.0,16,0.957098,nan
4522,463,0.0,6,0.957041,nan
4528,464,0.0,6,0.9569840000000001,nan
4534,465,0.0,6,0.956927,nan
4540,466,0.0,6,0.95687,nan
4546,467,0.0,6,0.956813,nan
4552,468,0.0,6,0.956756,nan
4590,469,3.0,38,0.956395,nan
4606,470,1.0,16,0.956243,nan
4612,471,0.0,6,0.956186,nan
4618,472,0.0,6,0.956129,nan
4624,473,0.0,6,0.956072,nan
4630,474,0.0,6,0.9560150000000001,nan
4636,475,0.0,6,0.955958,nan
4652,476,1.0,16,0.955806,nan
4658,477,0.0,6,0.955749,nan
4664,478,0.0,6,0.955692,nan
4680,479,1.0,16,0.9555400000000001,nan
4686,480,0.0,6,0.955483,nan
4692,481,0.0,6,0.955426,nan
4708,482,1.0,16,0.955274,nan
4714,483,0.0,6,0.955217,nan
4720,484,0.0,6,0.95516,nan
4726,485,0.0,6,0.955103,nan
4732,486,0.0,6,0.955046,nan
4738,487,0.0,6,0.954989,nan
4744,488,0.0,6,0.954932,nan
4750,489,0.0,6,0.954875,nan
4766,490,1.0,16,0.954723,nan
4772,491,0.0,6,0.954666,nan
4778,492,0.0,6,0.954609,nan
4794,493,1.0,16,0.954457,nan
4800,494,0.0,6,0.9544,nan
4806,495,0.0,6,0.954343,nan
4812,496,0.0,6,0.954286,nan
4818,497,0.0,6,0.954229,nan
4834,498,1.0,16,0.954077,nan
4840,499,0.0,6,0.95402,nan
4856,500,1.0,16,0.953868,nan
4862,501,0.0,6,0.953811,nan
4868,502,0.0,6,0.953754,nan
4874,503,0.0,6,0.953697,nan
4890,504,1.0,16,0.953545,nan
