#{"t_start": 1774703664.5630655, "env_id": "ALE/Breakout-v5"}
r,l,t
9.0,445,733.300415
6.0,344,734.494452
3.0,251,735.348672
2.0,202,736.168658
6.0,369,738.046415
5.0,306,739.380437
2.0,205,740.110145
7.0,392,741.940934
3.0,254,742.828332
9.0,343,743.999315
6.0,378,745.319296
8.0,437,746.840327
7.0,373,748.112614
6.0,358,750.164491
5.0,323,751.787411
7.0,403,753.156698
7.0,364,754.401803
7.0,431,755.910149
2.0,209,756.66239
4.0,267,758.11209
6.0,346,759.331599
2.0,233,760.144973
12.0,332,761.279736
7.0,414,763.199395
7.0,437,765.194166
3.0,252,766.540351
3.0,219,767.34969
2.0,184,767.98139
9.0,480,769.659232
5.0,296,770.702889
5.0,328,771.872944
5.0,295,772.906059
9.0,465,775.27738
7.0,376,777.263563
3.0,240,778.245004
8.0,438,779.779677
4.0,271,780.720107
2.0,186,781.368313
3.0,242,782.197219
4.0,266,783.611611
6.0,364,784.865006
8.0,433,786.376243
1.0,155,786.916905
7.0,412,788.732134
6.0,370,790.664749
2.0,188,791.812853
7.0,397,793.193643
1.0,178,793.816813
8.0,309,794.87398
5.0,329,796.019429
6.0,331,797.156518
6.0,354,798.386005
13.0,525,800.752941
4.0,300,802.288096
6.0,411,804.152013
7.0,380,805.454642
3.0,253,806.305941
4.0,284,807.789117
13.0,548,809.703104
5.0,296,810.720331
6.0,368,812.019791
8.0,439,813.658032
7.0,365,816.147562
5.0,354,817.435301
6.0,337,818.603104
6.0,354,819.835394
3.0,254,820.732955
3.0,278,821.695115
3.0,241,822.56876
5.0,299,824.113812
4.0,287,825.136167
9.0,460,826.924014
4.0,281,828.41922
14.0,578,830.696958
8.0,434,832.695783
8.0,423,834.170569
11.0,435,835.703548
7.0,361,836.975563
5.0,342,838.222405
8.0,391,840.379497
8.0,430,842.470806
4.0,280,1090.273875
8.0,426,1091.734771
7.0,376,1093.038239
5.0,354,1094.284227
4.0,244,1095.623774
2.0,202,1096.327523
7.0,396,1097.711432
18.0,630,1100.333178
8.0,309,1101.906925
11.0,276,1102.850159
3.0,248,1104.161251
3.0,236,1104.986554
7.0,420,1106.411181
3.0,249,1107.278233
9.0,494,1108.948875
11.0,402,1110.28659
8.0,399,1112.288177
11.0,513,1114.804668
6.0,326,1115.908055
4.0,316,1116.982785
7.0,397,1118.366357
6.0,385,1120.128409
9.0,474,1121.746366
7.0,378,1123.041247
7.0,363,1124.303237
17.0,600,1127.046986
6.0,361,1128.974319
6.0,339,1130.118174
2.0,188,1130.797069
13.0,573,1132.762147
8.0,432,1134.205273
3.0,260,1135.572554
4.0,302,1136.592446
4.0,259,1137.472779
5.0,315,1139.005869
13.0,522,1141.320533
6.0,396,1142.683757
12.0,526,1144.927029
8.0,407,1146.301735
17.0,582,1148.293675
3.0,232,1149.105702
4.0,260,1150.001613
2.0,190,1150.755431
6.0,434,1153.54937
5.0,310,1154.652051
10.0,436,1156.141249
5.0,350,1157.345954
7.0,387,1158.676403
12.0,495,1160.87269
8.0,409,1162.309381
7.0,394,1163.802988
9.0,466,1166.108375
11.0,274,1167.211947
4.0,288,1168.705862
4.0,266,1169.627386
8.0,483,1171.270647
12.0,511,1173.053333
6.0,331,1174.188626
5.0,318,1175.288594
6.0,398,1177.50611
10.0,530,1179.988175
4.0,267,1180.928731
9.0,526,1182.789623
9.0,477,1185.013782
15.0,534,1186.883985
8.0,470,1188.551458
6.0,390,1190.192018
7.0,441,1192.534286
5.0,318,1194.169973
8.0,444,1195.698451
9.0,496,1197.44943
8.0,475,1199.127432
11.0,506,1201.380538
5.0,325,1202.574431
5.0,297,1204.117931
10.0,526,1206.468249
7.0,433,1208.000671
11.0,565,1210.475636
3.0,215,1211.239851
7.0,415,1212.698971
6.0,366,1214.00527
3.0,275,1214.99138
4.0,259,1216.159296
5.0,297,1217.734074
12.0,602,1220.621532
8.0,384,1221.940526
5.0,327,1223.08141
8.0,419,1224.571856
5.0,346,1225.794382
5.0,355,1227.582451
8.0,437,1229.390876
12.0,515,1231.929527
5.0,325,1233.070677
3.0,226,1233.869444
10.0,389,1235.729446
10.0,429,1237.229939
11.0,522,1239.038055
11.0,455,1240.594799
7.0,422,1242.369766
9.0,408,1244.836943
5.0,323,1245.96424
4.0,279,1246.972675
6.0,373,1248.237444
10.0,420,1249.69224
8.0,382,1251.484463
7.0,422,1252.923579
5.0,315,1253.983691
8.0,418,1255.880713
8.0,298,1257.429504
7.0,379,1258.736864
8.0,433,1260.740991
10.0,427,1262.243393
5.0,299,1263.270312
4.0,278,1264.25597
5.0,316,1265.385126
11.0,276,1266.372811
8.0,439,1268.885901
4.0,304,1270.40171
5.0,276,1271.369066
9.0,508,1273.139519
11.0,598,1275.24456
8.0,304,1276.799336
6.0,358,1278.052942
7.0,394,1279.41755
13.0,540,1281.808588
7.0,375,1283.5723
5.0,342,1285.278617
7.0,423,1286.729931
13.0,513,1288.506541
10.0,534,1534.040904
7.0,403,1535.429473
