#{"t_start": 1774687142.1115823, "env_id": "None"}
r,l,t
0.0,6,18.04336
2.0,26,18.089976
1.0,16,18.117651
0.0,6,18.127924
1.0,16,18.155372
1.0,16,18.185668
0.0,6,18.195917
0.0,6,18.206011
1.0,16,18.233652
1.0,16,18.263533
0.0,6,18.273473
2.0,28,18.329019
0.0,6,18.339578
0.0,6,18.349783
0.0,6,18.360604
0.0,6,18.373242
0.0,6,18.383935
1.0,16,18.411698
1.0,16,18.438834
0.0,6,18.449033
0.0,6,18.459163
0.0,6,18.471502
0.0,6,18.483453
1.0,16,18.5109
1.0,16,18.537973
0.0,6,18.548076
2.0,26,18.598386
1.0,16,18.631017
0.0,6,18.641309
0.0,6,18.651445
0.0,6,18.661805
0.0,6,18.674362
0.0,6,18.684863
0.0,6,18.695317
0.0,6,18.706386
1.0,16,18.734473
0.0,6,18.744942
3.0,38,18.823839
0.0,6,18.833951
0.0,6,18.844401
1.0,16,18.871888
1.0,16,18.908445
1.0,16,19.155021
1.0,16,19.183932
0.0,6,19.19461
1.0,16,19.221149
1.0,16,19.249661
0.0,6,19.259716
0.0,6,19.269627
0.0,6,19.279803
0.0,6,19.292181
0.0,6,19.302327
0.0,6,19.31222
0.0,6,19.322348
0.0,6,19.332461
0.0,6,19.342611
0.0,6,19.352558
0.0,6,19.36256
0.0,6,19.372412
0.0,6,19.382729
0.0,6,19.397745
0.0,6,19.41039
0.0,6,19.422891
0.0,6,19.433573
0.0,6,19.444103
3.0,38,19.512464
0.0,6,19.522873
0.0,6,19.533071
1.0,16,19.560339
0.0,6,19.571214
1.0,16,19.60222
0.0,6,19.612172
1.0,16,19.639234
2.0,28,19.686315
0.0,6,19.706127
0.0,6,19.719462
0.0,6,19.730909
0.0,6,19.741697
0.0,6,19.752002
0.0,6,19.762715
1.0,16,19.791294
0.0,6,19.804027
0.0,6,19.81949
0.0,6,19.836892
0.0,6,19.847643
1.0,16,19.875055
0.0,6,19.885367
0.0,6,19.896014
0.0,6,19.908569
0.0,6,19.919362
0.0,6,19.929713
1.0,16,19.957305
0.0,6,19.967546
0.0,6,19.978411
0.0,6,19.990466
0.0,6,20.012092
0.0,6,20.025316
0.0,6,20.035945
0.0,6,20.046229
0.0,6,20.056706
1.0,16,20.085008
0.0,6,20.095649
2.0,28,20.147933
1.0,16,20.176548
0.0,6,20.188054
0.0,6,20.201774
0.0,6,20.217234
2.0,28,20.267513
0.0,6,20.277736
0.0,6,20.287901
1.0,16,20.317393
3.0,38,20.382913
0.0,6,20.394049
0.0,6,20.408201
0.0,6,20.425455
0.0,6,20.43848
0.0,6,20.449143
0.0,6,20.460264
0.0,6,20.470836
1.0,16,20.501093
0.0,6,20.511909
0.0,6,20.524854
0.0,6,20.535825
1.0,16,20.563966
1.0,16,20.592746
1.0,16,20.632885
0.0,6,20.643907
0.0,6,20.654537
0.0,6,20.665697
1.0,16,20.693776
0.0,6,20.704355
0.0,6,20.718346
1.0,16,20.767697
0.0,6,20.784842
0.0,6,20.802623
0.0,6,20.819263
0.0,6,20.83943
1.0,16,20.8903
3.0,38,20.997281
0.0,6,21.014433
0.0,6,21.028421
0.0,6,21.041888
0.0,6,21.058502
1.0,16,21.101062
0.0,6,21.118173
0.0,6,21.131358
0.0,6,21.144623
0.0,6,21.166807
0.0,6,21.180393
0.0,6,21.193926
0.0,6,21.207669
0.0,6,21.221359
0.0,6,21.23799
1.0,16,21.287387
0.0,6,21.303608
1.0,16,21.343244
0.0,6,21.356736
0.0,6,21.37335
0.0,6,21.386754
0.0,6,21.400467
0.0,6,21.414221
1.0,16,21.449048
0.0,6,21.462029
1.0,16,21.501193
4.0,48,21.618121
0.0,6,21.631887
0.0,6,21.645568
1.0,16,21.683303
1.0,16,21.718371
1.0,16,21.758616
1.0,16,21.796421
0.0,6,21.811598
0.0,6,21.826156
0.0,6,21.839248
0.0,6,21.853241
0.0,6,21.86743
1.0,16,21.907694
0.0,6,21.92131
0.0,6,21.939148
1.0,16,21.980471
1.0,16,22.026888
0.0,6,22.04014
4.0,48,22.150058
0.0,6,22.163367
1.0,16,22.198632
0.0,6,22.214309
0.0,6,22.22681
0.0,6,22.239844
0.0,6,22.256263
0.0,6,22.269953
0.0,6,22.282598
0.0,6,22.294997
0.0,6,22.307329
1.0,16,22.347394
0.0,6,22.360548
0.0,6,22.374102
0.0,6,22.386919
1.0,16,22.423227
0.0,6,22.436438
0.0,6,22.450629
0.0,6,22.465567
1.0,16,22.507423
0.0,6,22.527172
0.0,6,22.543677
0.0,6,22.55727
4.0,48,22.690935
1.0,16,22.729196
0.0,6,22.744828
1.0,16,22.781174
0.0,6,22.794327
0.0,6,22.806841
0.0,6,22.824148
0.0,6,22.841527
0.0,6,22.857275
0.0,6,22.870161
0.0,6,22.885237
0.0,6,22.902874
0.0,6,22.916828
1.0,16,22.963897
0.0,6,22.981049
0.0,6,22.998635
1.0,16,23.050404
1.0,16,23.092674
0.0,6,23.108476
0.0,6,23.129611
1.0,16,23.174872
0.0,6,23.190666
0.0,6,23.207195
2.0,28,23.286252
0.0,6,23.303692
0.0,6,23.319824
0.0,6,23.33624
0.0,6,23.349638
1.0,16,23.379941
0.0,6,23.390018
0.0,6,23.40043
0.0,6,23.411072
0.0,6,23.42148
1.0,16,23.448213
1.0,16,23.477265
1.0,16,23.50454
0.0,6,23.516145
1.0,16,23.543201
0.0,6,23.5532
0.0,6,23.563222
1.0,16,23.591733
1.0,16,23.618294
1.0,16,23.653319
0.0,6,23.663724
1.0,16,23.899881
0.0,6,23.909923
2.0,28,23.97282
0.0,6,23.986175
0.0,6,23.998261
0.0,6,24.009558
1.0,16,24.0379
0.0,6,24.047999
2.0,28,24.110428
1.0,16,24.138035
1.0,16,24.165495
0.0,6,24.175839
0.0,6,24.188218
0.0,6,24.198303
1.0,16,24.227354
1.0,16,24.265245
0.0,6,24.276049
1.0,16,24.305716
0.0,6,24.316082
2.0,28,24.366477
0.0,6,24.377263
1.0,16,24.407368
2.0,28,24.457014
1.0,16,24.485211
0.0,6,24.498536
1.0,16,24.531257
1.0,16,24.564358
0.0,6,24.575035
1.0,16,24.605079
2.0,28,24.653791
0.0,6,24.664329
0.0,6,24.675246
2.0,28,24.726618
1.0,16,24.754496
0.0,6,24.765049
0.0,6,24.775443
0.0,6,24.785671
0.0,6,24.796385
1.0,16,24.828462
0.0,6,24.844029
0.0,6,24.85785
1.0,16,24.885962
5.0,60,24.991068
0.0,6,25.002117
1.0,16,25.031147
0.0,6,25.041328
0.0,6,25.051581
0.0,6,25.062124
0.0,6,25.073013
1.0,16,25.10029
0.0,6,25.118021
0.0,6,25.13727
1.0,16,25.175689
1.0,16,25.203218
0.0,6,25.216127
0.0,6,25.226155
0.0,6,25.236494
1.0,16,25.264834
0.0,6,25.275213
0.0,6,25.285191
1.0,16,25.31456
0.0,6,25.324706
0.0,6,25.335091
0.0,6,25.345382
1.0,16,25.372207
0.0,6,25.382289
0.0,6,25.392664
0.0,6,25.402884
0.0,6,25.41525
1.0,16,25.447865
0.0,6,25.46095
1.0,16,25.489829
0.0,6,25.500537
0.0,6,25.510725
1.0,16,25.541802
0.0,6,25.551844
0.0,6,25.561847
0.0,6,25.571749
0.0,6,25.581769
0.0,6,25.591672
1.0,16,25.620091
2.0,26,25.673001
0.0,6,25.683285
0.0,6,25.693242
1.0,16,25.721843
1.0,16,25.750096
0.0,6,25.760162
0.0,6,25.770099
0.0,6,25.780069
0.0,6,25.790004
1.0,16,25.816366
0.0,6,25.828776
0.0,6,25.838654
0.0,6,25.848538
0.0,6,25.858406
0.0,6,25.868751
0.0,6,25.879329
0.0,6,25.889288
1.0,16,25.915604
0.0,6,25.927665
2.0,26,25.978701
0.0,6,25.988702
0.0,6,25.99962
1.0,16,26.028616
3.0,38,26.091519
0.0,6,26.101403
0.0,6,26.111292
1.0,16,26.140476
0.0,6,26.150396
1.0,16,26.188516
0.0,6,26.198789
0.0,6,26.208711
0.0,6,26.218745
0.0,6,26.228758
0.0,6,26.250381
3.0,38,26.318493
0.0,6,26.328608
0.0,6,26.338875
0.0,6,26.350977
1.0,16,26.377808
0.0,6,26.387887
1.0,16,26.414563
1.0,16,26.441535
0.0,6,26.453708
0.0,6,26.464031
1.0,16,26.491528
0.0,6,26.501714
1.0,16,26.532352
1.0,16,26.569968
0.0,6,26.580832
0.0,6,26.591105
0.0,6,26.60144
0.0,6,26.612064
1.0,16,26.640425
0.0,6,26.650923
0.0,6,26.663735
1.0,16,26.691582
0.0,6,26.702024
1.0,16,26.729202
0.0,6,26.739537
0.0,6,26.749726
1.0,16,26.779088
0.0,6,26.789571
1.0,16,26.817325
0.0,6,26.828262
0.0,6,26.842806
0.0,6,26.855493
0.0,6,26.870013
0.0,6,26.880492
0.0,6,26.890724
1.0,16,26.918058
0.0,6,26.928501
1.0,16,26.956023
2.0,26,27.004289
2.0,26,27.048778
1.0,16,27.079773
0.0,6,27.09028
1.0,16,27.118353
0.0,6,27.128565
1.0,16,27.166738
0.0,6,27.179975
1.0,16,27.220796
0.0,6,27.231231
0.0,6,27.242368
0.0,6,27.252562
0.0,6,27.263462
0.0,6,27.277504
0.0,6,27.287697
3.0,38,27.353088
0.0,6,27.363866
0.0,6,27.377073
0.0,6,27.387202
1.0,16,27.414361
0.0,6,27.424517
0.0,6,27.435753
2.0,26,27.489377
0.0,6,27.499505
0.0,6,27.50943
2.0,28,27.557663
0.0,6,27.567603
1.0,16,27.596453
0.0,6,27.606359
0.0,6,27.616479
1.0,16,27.643091
0.0,6,27.653027
0.0,6,27.662956
0.0,6,27.672986
0.0,6,27.904044
1.0,16,27.931116
1.0,16,27.958524
0.0,6,27.968734
0.0,6,27.979574
0.0,6,27.990076
0.0,6,28.004117
0.0,6,28.014165
0.0,6,28.024534
0.0,6,28.035372
0.0,6,28.052152
0.0,6,28.067704
0.0,6,28.078992
0.0,6,28.089388
0.0,6,28.102568
0.0,6,28.112702
1.0,16,28.140952
0.0,6,28.151342
0.0,6,28.161881
0.0,6,28.172163
0.0,6,28.183333
0.0,6,28.193646
1.0,16,28.226956
1.0,16,28.262946
0.0,6,28.274301
0.0,6,28.284623
0.0,6,28.294619
1.0,16,28.323359
0.0,6,28.333451
0.0,6,28.348074
1.0,16,28.379476
3.0,38,28.446344
0.0,6,28.456347
1.0,16,28.483467
0.0,6,28.493951
2.0,26,28.543768
1.0,16,28.577533
2.0,28,28.627121
0.0,6,28.637247
