#{"t_start": 1774679994.174659, "env_id": "None"}
r,l,t
0.0,6,2.78184
1.0,16,2.785432
0.0,6,2.787148
0.0,6,2.792744
0.0,6,2.794447
0.0,6,2.795406
2.0,28,2.800353
0.0,6,2.805536
0.0,6,2.806632
0.0,6,2.807721
0.0,6,2.808895
0.0,6,2.81513
0.0,6,2.816363
0.0,6,2.817569
0.0,6,2.820149
0.0,6,2.824905
1.0,16,2.827364
0.0,6,2.82836
0.0,6,2.829563
0.0,6,2.834279
0.0,6,2.835359
0.0,6,2.836371
2.0,26,2.843038
0.0,6,2.84733
0.0,6,2.848364
0.0,6,2.849244
0.0,6,2.850179
0.0,6,2.854448
0.0,6,2.855452
0.0,6,2.856285
0.0,6,2.857257
0.0,6,2.861395
0.0,6,2.862369
0.0,6,2.863236
0.0,6,2.864198
0.0,6,2.868043
1.0,16,2.870276
1.0,16,2.875182
2.0,26,2.882529
0.0,6,2.886502
0.0,6,2.887233
1.0,16,2.888952
0.0,6,2.889926
1.0,16,2.895681
0.0,6,2.896826
2.0,28,2.901874
0.0,6,2.903033
0.0,6,2.907589
0.0,6,2.908482
1.0,16,2.9109
0.0,6,2.912001
0.0,6,2.916342
1.0,16,2.918707
1.0,16,2.921126
0.0,6,2.922172
1.0,16,2.928807
0.0,6,2.930225
0.0,6,2.931964
0.0,6,2.932974
2.0,28,2.941333
1.0,16,2.944046
0.0,6,2.945285
0.0,6,2.946381
1.0,16,2.953593
3.0,38,2.960073
0.0,6,2.961254
1.0,16,2.963944
0.0,6,2.968571
0.0,6,2.969586
1.0,16,2.972668
0.0,6,2.974391
1.0,16,2.98326
1.0,16,2.992933
0.0,6,2.993778
0.0,6,2.996826
0.0,6,3.003147
0.0,6,3.004084
0.0,6,3.004886
0.0,6,3.005783
0.0,6,3.013987
0.0,6,3.015047
1.0,16,3.01936
1.0,16,3.021724
0.0,6,3.02787
0.0,6,3.030888
0.0,6,3.031837
1.0,16,3.036083
0.0,6,3.041685
0.0,6,3.043615
1.0,16,3.046691
1.0,16,3.048994
0.0,6,3.053411
0.0,6,3.05425
0.0,6,3.05521
1.0,16,3.057241
0.0,6,3.063393
1.0,16,3.066041
1.0,16,3.068831
0.0,6,3.070145
0.0,6,3.073823
1.0,16,3.076219
1.0,16,3.078594
0.0,6,3.079459
2.0,28,3.087038
0.0,6,3.088058
2.0,26,3.091842
1.0,16,3.096743
0.0,6,3.10116
0.0,6,3.102179
0.0,6,3.102996
0.0,6,3.104006
0.0,6,3.108186
0.0,6,3.109259
1.0,16,3.111794
0.0,6,3.1127
0.0,6,3.117189
0.0,6,3.118132
0.0,6,3.119178
1.0,16,3.121631
0.0,6,3.125817
0.0,6,3.12908
0.0,6,3.129918
0.0,6,3.130959
1.0,16,3.136549
2.0,28,3.140306
0.0,6,3.141284
1.0,16,3.143734
0.0,6,3.148094
0.0,6,3.149057
0.0,6,3.150147
0.0,6,3.15116
1.0,16,3.15729
0.0,6,3.158381
0.0,6,3.159346
1.0,16,3.161829
0.0,6,3.166751
0.0,6,3.167717
0.0,6,3.168833
0.0,6,3.169852
0.0,6,3.17467
1.0,16,3.179977
2.0,26,3.185404
0.0,6,3.186442
0.0,6,3.191521
0.0,6,3.192669
0.0,6,3.193594
1.0,16,3.19592
0.0,6,3.203683
0.0,6,3.205177
0.0,6,3.206226
1.0,16,3.208862
0.0,6,3.213964
0.0,6,3.215118
1.0,16,3.21865
0.0,6,3.219722
1.0,16,3.226027
0.0,6,3.227203
0.0,6,3.228192
0.0,6,3.229377
2.0,26,3.239587
1.0,16,3.242935
2.0,26,3.246613
0.0,6,3.247456
0.0,6,3.252118
0.0,6,3.253017
0.0,6,3.253992
1.0,16,3.256397
0.0,6,3.260979
0.0,6,3.2621
0.0,6,3.263026
1.0,16,3.265495
0.0,6,3.269851
0.0,6,3.27074
0.0,6,3.271805
0.0,6,3.27264
1.0,16,3.278421
0.0,6,3.279317
0.0,6,3.280096
1.0,16,3.282417
0.0,6,3.286674
0.0,6,3.287555
0.0,6,3.288548
0.0,6,3.289385
0.0,6,3.293829
0.0,6,3.29462
0.0,6,3.29552
0.0,6,3.296347
0.0,6,3.303352
0.0,6,3.30415
